iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
ABW,LCN,Aruba,HIC,,,,,,,,,,,,Yes,Yes,Yes,Yes,103187,,,,,,,88132.0167,,,,,,,,,,,,,,,,,,,,11,,89,,
AFG,SAS,Afghanistan,LIC,21413614653,,,,,,,,,,,Yes,Yes,Yes,,34656032,6802511,,2.00E+04,,,9855,5628525.37,,,,,,,,,,,,,,,,,,,,,,,,Other
AGO,SSF,Angola,LMC,1.03042E+11,51.8,6.7,4.4,11.5,11.9,13.5,,,,,,Yes,Yes,,25096150,,,9.20E+04,,,5495.95,4213643.585,,,,,,,23.1,,,,,,,,,,,,,,,,,
ALB,ECS,Albania,UMC,13471082475,51.4,4.5,4.8,15.21,9.9,9.6,,4.6,,No,Yes,Yes,Yes,No,2880703,,203009,2.00E+04,5714.82,270269,114.3,1142964,,,,,,,60,,,,,,,,,,,,,,,,,Some disposal sites
AND,ECS,Andorra,HIC,3319880351,31.2,8.2,2.6,11.6,35.1,11.3,,,,,Yes,Yes,Yes,,82431,,,,1788,,,4.30E+04,,,,,,,100,,,,,,,,,52.1,,,,,,47.9,,
ARE,MEA,United Arab Emirates,HIC,3.84222E+11,39,4,3,10,25,19,,,,Yes,Yes,,Yes,,9269612,493106,2876313,1.34E+05,57525,3306644,4573,5413453.408,,,,,,,,,,,,,,9,,,9,62,,20,,,,
ARG,LCN,Argentina,HIC,4.47518E+11,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981515,,,291700,310044,,,17910550,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6,62.5,,,Other
ARM,ECS,Armenia,UMC,11501998666,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,,No,No,Yes,No,,2906220,1570,7820,1.40E+04,62270,47310540,,492800,,,10,,,,,,,,90,,,,,,,100,,,,,,Other
ASM,EAS,American Samoa,UMC,534555066.1,19.7,3.4,7.9,25.6,26.4,12.8,4.2,,,,Yes,,,,55599,,,,,,,18989.49,,,,,,,100,,,,100,,,,,,,,,,,,,
ATG,LCN,Antigua and Barbuda,HIC,1344373698,46,7,7,12,15,13,,,,No,Yes,Yes,No,No,96777,,,1100,,,,30585,,,,,,,98.61,,,,,,,0.08,98.68,,,,,,,1.14,0.1,Disposal Site
